GUID,Id,Kostengruppe,Best_Predicted_Kostengruppe
3e8e3844-d42e-4521-a170-3b335582d4ff-00683473,6829171,346,346
3e8e3844-d42e-4521-a170-3b335582d4ff-00683474,6829172,346,346
796e57da-d443-47eb-aaeb-9786610f7ef1-0056e7d2,5695442,342,342
796e57da-d443-47eb-aaeb-9786610f7ef1-0056e6db,5695195,342,342
3795c249-b512-4efb-9acb-a8afff06195e-009d075b,10291035,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d075a,10291034,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0752,10291026,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0753,10291027,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0750,10291024,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0751,10291025,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0756,10291030,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0757,10291031,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0754,10291028,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0755,10291029,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0758,10291032,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0759,10291033,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0150,10289488,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0151,10289489,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0152,10289490,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0153,10289491,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d035d,10290013,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d035b,10290011,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d035c,10290012,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d035a,10290010,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0356,10290006,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0357,10290007,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0354,10290004,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0355,10290005,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0352,10290002,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0353,10290003,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0350,10290000,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0351,10290001,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0358,10290008,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0359,10290009,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0257,10289751,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0256,10289750,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0255,10289749,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0254,10289748,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0253,10289747,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0252,10289746,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0251,10289745,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0250,10289744,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0259,10289753,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0258,10289752,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d025b,10289755,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d025a,10289754,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0958,10291544,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0959,10291545,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0954,10291540,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0955,10291541,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0956,10291542,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0957,10291543,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0950,10291536,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0951,10291537,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0952,10291538,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d0953,10291539,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d095d,10291549,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d095e,10291550,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d095a,10291546,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d095b,10291547,345,345
3795c249-b512-4efb-9acb-a8afff06195e-009d095c,10291548,345,345
4b67fbf1-3e80-490b-93aa-73f179ecf59f-009c7ce3,10255587,342,342
42f2db86-763a-4ca7-96cb-4ceb046bbfa5-008424b0,8662238,335,335
34797bc6-903c-4b2d-baba-567340fc3205-009b33ba,10171322,345,345
34797bc6-903c-4b2d-baba-567340fc3205-009b30b9,10170553,345,345
34797bc6-903c-4b2d-baba-567340fc3205-009b3abb,10173115,345,345
effbe8c2-7893-4748-a8f5-35fb148d2201-0056ef8d,5697421,341,341
de2417e6-42b8-4050-a556-9e3126cc5cb8-00849466,8688742,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-00849464,8688740,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-00849463,8688739,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-00849461,8688737,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-0084946e,8688750,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-0084946b,8688747,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-0084946c,8688748,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-0084946a,8688746,335,335
de2417e6-42b8-4050-a556-9e3126cc5cb8-00849561,8688993,335,335
0335b294-97d2-4c17-8aa1-d433dd811849-00690ed1,6885073,345,345
f1ea5c12-6c56-4aab-a87f-c0a2a701fcc7-008e6048,9330760,341,342
be4d2bb9-555b-43de-a812-6ec9189d168c-009ade51,10151280,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009ca647,10266183,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab48,10267464,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab49,10267465,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab46,10267462,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab47,10267463,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab44,10267460,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab45,10267461,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab42,10267458,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab43,10267459,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab4d,10267469,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab4e,10267470,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab4b,10267467,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab4c,10267468,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cab4a,10267466,345,345
42e63bf5-2bc4-4b94-9994-06c57d2eaee1-009ada78,10148472,345,345
42e63bf5-2bc4-4b94-9994-06c57d2eaee1-009adc74,10148980,345,345
9633f6a4-1a35-4eb6-b8fb-aa25a9ddf65f-0057340d,5714957,342,342
01733457-a467-4452-b327-3d170b0da871-0084ee93,8711827,335,335
8cc5ba64-3db9-4d2a-aa61-632e2d29378a-0066c245,6734405,341,341
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f5,10283509,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f4,10283508,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f6,10283510,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f1,10283505,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f0,10283504,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f3,10283507,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce9f2,10283506,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce7fc,10283004,345,345
